ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
HYGH,IWM,19,7,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,,,,0.67,0.08,0.15
HYLB,SPY,64,18,46,0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.1111111111111111,0.2777777777777778,0.0,0.0,0.0,,,,0.89,0.23,0.12
IAC,IWM,63,19,44,0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.2631578947368421,0.6842105263157895,0.5789473684210527,0.10526315789473684,0.7894736842105263,0.5263157894736842,0.2631578947368421,0.0,0.0,0.0,,,,0.92,0.96,0.8
IAGG,SPY,63,11,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,,,,0.25,0.01,0.11
IAI,IWM,51,21,30,0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.14285714285714285,0.5238095238095238,0.23809523809523808,0.2857142857142857,0.5238095238095238,0.2857142857142857,0.23809523809523808,0.0,0.0,0.0,,,,0.95,0.74,0.49
IAK,IWM,24,14,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,,,,0.4,0.16,0.3
IART,SPY,76,24,52,0,0.0,0.0,0.0,0.20833333333333334,0.125,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.2916666666666667,0.2916666666666667,0.625,0.2916666666666667,0.3333333333333333,0.0,0.0,0.0,,,,0.76,0.89,0.99
IAT,IWM,55,17,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,,,,0.86,0.6,0.49
IAU,IWM,105,64,41,0,0.234375,0.171875,0.0625,0.578125,0.53125,0.046875,0.34375,0.15625,0.1875,0.5,0.375,0.125,0.703125,0.53125,0.171875,0.0,0.0,0.0,,,,0.53,0.83,1.0
IAUI,IWM,59,32,27,0,0.0,0.0,0.0,0.15625,0.03125,0.125,0.25,0.125,0.125,0.46875,0.3125,0.15625,0.5,0.25,0.25,0.0,0.0,0.0,,,,0.49,0.48,0.65
IAUM,QQQ,97,59,38,0,0.1694915254237288,0.13559322033898305,0.03389830508474576,0.5423728813559322,0.4576271186440678,0.0847457627118644,0.23728813559322035,0.11864406779661017,0.11864406779661017,0.4406779661016949,0.3728813559322034,0.06779661016949153,0.6440677966101694,0.5254237288135594,0.11864406779661017,0.0,0.0,0.0,,,,0.58,0.81,1.0
