ticker,open_glob_total,open_glob_up_rate,open_glob_down_rate,open_glob_mean_move,open_glob_median_move,open_5m_total,open_5m_up_rate,open_5m_down_rate,open_5m_mean_move,open_5m_median_move,open_10m_total,open_10m_up_rate,open_10m_down_rate,open_10m_mean_move,open_10m_median_move,open_15m_total,open_15m_up_rate,open_15m_down_rate,open_15m_mean_move,open_15m_median_move,open_20m_total,open_20m_up_rate,open_20m_down_rate,open_20m_mean_move,open_20m_median_move,open_30m_total,open_30m_up_rate,open_30m_down_rate,open_30m_mean_move,open_30m_median_move
OUNZ,20.0,0.45,0.55,-0.09380865163631125,-0.3244664036038958,3.0,0.0,1.0,-0.638978616510999,-0.7851328035819227,9.0,0.3333333333333333,0.6666666666666666,-0.20939387565344697,-0.33314528139851696,10.0,0.4,0.6,-0.16685688391356646,-0.36130335041456574,12.0,0.4166666666666667,0.5833333333333334,-0.18722640982226554,-0.42581758975980266,20.0,0.45,0.55,-0.09380865163631125,-0.3244664036038958
OUST,57.0,0.40350877192982454,0.5964912280701754,-0.34921248256378257,-0.9411787786403614,55.0,0.4,0.6,-0.48047727403300255,-0.8144850664033698,58.0,0.3793103448275862,0.6206896551724138,-0.39790145298836843,-0.9670877099047237,57.0,0.3508771929824561,0.6491228070175439,-0.36275468078699846,-0.7801461515995811,57.0,0.42105263157894735,0.5789473684210527,-0.30937468211102376,-1.1935510943012817,57.0,0.40350877192982454,0.5964912280701754,-0.34921248256378257,-0.9411787786403614
OUT,51.0,0.47058823529411764,0.5294117647058824,-0.12499647160436893,-0.39193556792852524,33.0,0.45454545454545453,0.5454545454545454,-0.1607440366012367,-0.3749314115595537,41.0,0.4634146341463415,0.5365853658536586,-0.14490838217200808,-0.3172158096051758,43.0,0.4883720930232558,0.5116279069767442,-0.016391361092795046,-0.31762555786667424,49.0,0.4897959183673469,0.5102040816326531,-0.06675145337086899,-0.3428540910993316,51.0,0.47058823529411764,0.5294117647058824,-0.12499647160436893,-0.39193556792852524
OVV,45.0,0.6444444444444445,0.35555555555555557,0.40911866533734237,0.6515934050134398,39.0,0.6410256410256411,0.358974358974359,0.1778051193647219,0.4677286501172162,46.0,0.6739130434782609,0.32608695652173914,0.2945850956473923,0.509912837992188,46.0,0.6521739130434783,0.34782608695652173,0.2470158515726013,0.4479959134991218,48.0,0.6041666666666666,0.3958333333333333,0.2708635118899212,0.48057723497331173,45.0,0.6444444444444445,0.35555555555555557,0.40911866533734237,0.6515934050134398
OWL,53.0,0.5094339622641509,0.49056603773584906,0.03036616266685117,0.3244968452412067,38.0,0.5526315789473685,0.4473684210526316,0.0989974609538585,0.3385799574868398,43.0,0.5581395348837209,0.4418604651162791,0.051604823451425814,0.37214086555910075,40.0,0.475,0.525,-0.0908702081421983,-0.30367413680029154,46.0,0.5217391304347826,0.4782608695652174,-0.006287746691796297,0.331156025256063,53.0,0.5094339622641509,0.49056603773584906,0.03036616266685117,0.3244968452412067
OWLS,10.0,0.3,0.7,-9.323338690265558,-5.004523438932562,12.0,0.25,0.75,-2.923074659140331,-2.153093404232298,12.0,0.3333333333333333,0.6666666666666666,-4.581371600079251,-2.450436455570765,11.0,0.2727272727272727,0.7272727272727273,-6.794793799898621,-4.207123236937127,12.0,0.3333333333333333,0.6666666666666666,-6.262722679216246,-4.589550954769783,10.0,0.3,0.7,-9.323338690265558,-5.004523438932562
OWNB,5.0,0.8,0.2,1.4142015206222225,0.38303203705178923,12.0,0.5833333333333334,0.4166666666666667,0.2344214052382655,0.5518574902194318,13.0,0.6923076923076923,0.3076923076923077,-0.09825592670244994,0.7907983512043026,12.0,0.5833333333333334,0.4166666666666667,0.5825018867043156,0.5562204277928084,12.0,0.5,0.5,-0.23210961145287698,-0.04485275029587621,5.0,0.8,0.2,1.4142015206222225,0.38303203705178923
OXM,44.0,0.5227272727272727,0.4772727272727273,0.009441116921915526,0.479096568439763,43.0,0.5116279069767442,0.4883720930232558,-0.06553773045428105,0.3113798038688165,51.0,0.47058823529411764,0.5294117647058824,-0.3089538135188283,-0.4071415301796,56.0,0.5,0.5,-0.18001425304983604,0.02048252913712245,53.0,0.5094339622641509,0.49056603773584906,-0.14090463126438102,0.5200455111605606,44.0,0.5227272727272727,0.4772727272727273,0.009441116921915526,0.479096568439763
OXY,50.0,0.5,0.5,-0.020510656743419908,0.005109878842768367,38.0,0.5263157894736842,0.47368421052631576,-0.01854462526801062,0.38579162997030014,46.0,0.4782608695652174,0.5217391304347826,-0.03892525188655514,-0.30281023503215265,47.0,0.5106382978723404,0.48936170212765956,-0.01953126807899122,0.31679309548635626,45.0,0.4888888888888889,0.5111111111111111,-0.023674125113665085,-0.31010796540127394,50.0,0.5,0.5,-0.020510656743419908,0.005109878842768367
OZEM,,,,,,5.0,0.4,0.6,-0.050905973467814114,-0.43204519622318527,1.0,0.0,1.0,-0.9615365447438684,-0.9615365447438684,3.0,0.3333333333333333,0.6666666666666666,-0.2842485612914262,-0.47015971992809824,3.0,0.3333333333333333,0.6666666666666666,-0.3375045845889213,-0.36710859878844593,,,,,
